Candidate.relocate.actual_Yes,Notice.period,Location_Chennai,Location_Bangalore,Location_Noida,Location_Hyderabad,Location_Kolkata,Location_Gurgaon,Location_Mumbai,Candidate.Source_Employee Referral,Location_Pune,Candidate.Source_Direct,Offered.band_E1,LOB_INFRA,Offered.band_E3,Offered.band_E2,Age,DOJ.Extended_Yes,LOB_MMS,LOB_ETS,Location_Cochin,Location_Others,LOB_BFSI,Status_Not Joined
0,30,0,0,1,0,0,0,0,0,0,0,0,0,0,1,34,1,0,0,0,0,0,0
0,30,1,0,0,0,0,0,0,1,0,0,0,1,0,1,34,0,0,0,0,0,0,0
0,45,0,0,1,0,0,0,0,0,0,0,0,1,0,1,27,0,0,0,0,0,0,0
0,30,0,0,1,0,0,0,0,1,0,0,0,1,0,1,34,0,0,0,0,0,0,0
1,120,0,0,1,0,0,0,0,1,0,0,0,1,0,1,34,1,0,0,0,0,0,0
0,30,0,0,1,0,0,0,0,1,0,0,1,1,0,0,34,1,0,0,0,0,0,0
0,30,0,0,1,0,0,0,0,1,0,0,0,1,0,1,32,1,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,34,1,0,0,0,0,0,0
0,30,0,0,0,0,0,1,0,1,0,0,1,0,0,0,26,0,0,0,0,0,1,0
0,30,1,0,0,0,0,0,0,1,0,0,1,0,0,0,34,0,0,0,0,0,0,0
0,30,0,0,1,0,0,0,0,1,0,0,0,1,0,1,34,0,0,0,0,0,0,1
0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,34,0,0,0,0,0,0,0
0,30,0,0,1,0,0,0,0,0,0,0,0,1,0,1,29,1,0,0,0,0,0,1
0,75,0,0,1,0,0,0,0,0,0,1,0,1,0,1,34,0,0,0,0,0,0,1
0,30,0,0,1,0,0,0,0,1,0,0,0,1,1,0,34,0,0,0,0,0,0,1
0,30,0,1,0,0,0,0,0,0,0,1,0,0,1,0,34,0,0,1,0,0,0,0
0,30,0,0,1,0,0,0,0,0,0,0,0,1,0,1,36,1,0,0,0,0,0,1
0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,34,0,0,0,0,0,0,0
0,30,0,0,0,0,0,1,0,0,0,1,1,1,0,0,34,0,0,0,0,0,0,0
0,30,0,0,1,0,0,0,0,0,0,1,1,0,0,0,34,0,0,0,0,0,0,0
1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,29,0,0,0,0,0,0,0
0,30,1,0,0,0,0,0,0,1,0,0,1,0,0,0,30,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,30,0,0,0,0,0,0,0
0,60,0,0,1,0,0,0,0,0,0,1,0,0,0,1,30,1,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,31,0,0,0,0,0,0,0
0,60,0,0,1,0,0,0,0,0,0,1,1,0,0,0,31,0,0,0,0,0,0,1
0,120,1,0,0,0,0,0,0,0,0,1,0,0,1,0,40,1,0,0,0,0,0,0
0,30,0,0,1,0,0,0,0,0,0,1,0,1,0,1,28,1,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,34,1,0,0,0,0,1,1
0,30,1,0,0,0,0,0,0,1,0,0,0,0,0,1,33,0,0,0,0,0,0,0
0,45,1,0,0,0,0,0,0,0,0,1,0,0,0,1,25,0,0,0,0,0,1,0
1,30,0,0,1,0,0,0,0,1,0,0,0,1,1,0,44,0,0,0,0,0,0,0
0,90,0,0,0,1,0,0,0,0,0,0,0,0,0,1,23,1,0,0,0,0,0,1
0,30,1,0,0,0,0,0,0,0,0,1,0,1,0,1,29,0,0,0,0,0,0,1
0,60,0,0,1,0,0,0,0,1,0,0,0,1,1,0,32,1,0,0,0,0,0,0
0,60,0,1,0,0,0,0,0,0,0,1,0,0,0,1,30,1,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,44,0,0,0,0,0,0,0
1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,33,1,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,41,0,0,0,0,0,0,0
0,30,0,0,1,0,0,0,0,0,0,1,1,1,0,0,28,0,0,0,0,0,0,0
0,30,1,0,0,0,0,0,0,1,0,0,0,0,1,0,36,1,0,0,0,0,0,1
1,75,0,0,1,0,0,0,0,1,0,0,0,1,1,0,30,1,0,0,0,0,0,0
